Número Etapa,Nombre Etapa,Diseño Web
"Fase 1:
Configuracion inicial de la muestra",fecha de inicio de incubacion,Date
,hora inicio de incubacion,Time
,Tipo de matriz,Radio
,Peso de muestra,Radio
,Caldo APT,Radio
,hora de inicio de hidratacion (solo polvo),Time
,hora termino hidratacion (solo polvo),Time
"2A:
Datos de tiempo y trazabilidad",fecha de siembra,Date
,hora de homogeneizacion,Time
,hora de termimnmo de homogenizacion/ fin de siembra,Time
,hora ingreso a estufa,Time
,Nombre analista responsable,Text
,Término Análisis,Date
"Fase 2B:
Insumos utilizados",Clave/lote de caldo apt o leche,Text
,Tween 80/Pipetas desechables,Checkbox
,micropipetas,Checkbox
,Estufa de incubacion,Radio
"Fase 2C:
Controles de Calidad",analisis (desccripcion del control),Text
,Resultado control — Análisis,Radio
,Control (+) y Blanco en ALI,Text
,Resultado control — Control (+) y Blanco,Radio
,Control de siembra en ALI,Text
,Resultado control — Siembra,Radio
"fase 3A:
Datos de tiempo de traspaso",fecha de traspaso,Date
,hora lectura caldo APT y traspaso,Time
,nombre analista lectura caldo APT y traspaso,Text
,Hora lectura caldos finales,Time
,Analista lectura caldos finales,Text
"fase 3B:
Insumos de traspaso",Selenito-estufa Asignada,Radio
,Puntas 1ml,Checkbox
,micropipetas utilizadas,Checkbox
,Pipetas desechables,Checkbox
,micropipetas,Checkbox
"Fase 3C:
Tabla de muestras (esto son datos x muestra)",numero de muestra,Text
,numero de duplicado,Text
,caldo apt resultado,Checkbox
,selenito - resultado,Checkbox
,rappaport resultado,Checkbox
,Control (+) S. Enteritidis,Checkbox
,Control (-) K. Neumoneae,Checkbox
,Blanco,Checkbox
"Fase 4A:
Datos de tiempo y Agaares",Fecha/hora traspaso a agares,Date
,Nombre analista - traspaso a agares,Text
,clave/lote Agar XLD,Text
,clave/lote Agar SS,Text
,Estufa incubacion de Agares,Radio
,Fecha/hora lectura agar (24hrs),Date
,Analista - Lectura agar (24 hrs),Text
,Fecha/hora lectura Agar (48 Hrs),Date
,Analista  Lectura agar (48 Hrs),Text
"Fase 4B:
Tabla de resultados en Agar (esta informacion esta por muestra de nuevo salu2)",numero de muestra,Text
,numero de duplicado,Text
,Resultado AgarXLD (24hrs/Selenito),Radio
,Resultado Agar SS (24hrs/Selenito),Radio
,Resultado Agar XLD (48hrs/Selenito),Radio
,Resultado Agar SS (48hrs/Selenito),Radio
,Resultado AgarXLD (24hrs/Rappaport),Radio
,Resultado Agar SS (24hrs/Rappaport),Radio
,Resultado AgarXLD (48hrs/Rappaport),Radio
,Resultado Agar SS (48hrs/Rappaport),Radio
,Control (+) S. Enteritidis,Radio
,Control (-) K. Neumoneae,Radio
,Blanco,Radio
"Fase 5:
Resultado Final de presencia y ausencia",numero de muestra,Text
,numero de duplicado,Text
,Resultado final,Radio
