"TRAZABILIDAD ANÁLISIS: ENUMERACIÓN DE MOHOS Y LEVADURAS (NCh 2734.Of2002) y 
DETERMINACION HONGOS DEL GEN. ASPERGILLUS (NCh2735.Of2002) ",,,,,,,,,,,,,,,,,,,,,,,,
R-PR-SVVM-M-8-13 / 09-02-2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ALI ,0,,,0,,,,,,,,,,,
ENUMERACIÓN DE MOHOS Y LEVADURAS NCh 2734.Of2002: ,,,,,,,,,,,,,,,,,,,,,,,,
Inicio Incubación (Dia/mes/Hora/Analista): ,,,,,30/12/1899,,,,,,,,Término Análsis (Día/Mes/Hora/Analista):,,,,,0,,,,,,
DETERMINACION HONGOS DEL GEN.ASPERGILLUS NCh2735.Of2002: ,,,,,,,,,,,,,,,,,,,,,,,,
Inicio Incubación (Dia/mes/Hora/Analista): ,,,,, -----------------------------------,,,,,,,,Término Análsis (Día/Mes/Hora/Analista):,,,,, ---------------------------------,,,,,,
Siembra,,,,,,,,,,,,,,,,,,,,,,,,
Fin de preparación de la suspensión inicial y termino de siembra <20 minutos ,,,,,,,,00:00:00,00:00:00,,,,,,,,,,,,,,,
Agar Patata Dextrosa:,,,,,,,,,,,Micropipetas 1 ml,,,,,,,Nº de Muestra: ,,,,,10gr/90ml ,
Ácido Tartárico: ,,,,,,,,,,," 22-M
                                                         100-M",23-M ,72-M, 98-M ,100-M,102-M,,Nº de Muestra: ,, -----------,,,50gr/450ml,
,,,,,,,,,,,Micropipetas 10 ml,,,,,,,,,,,,,
Estufa 1-M (21.5+/-0.5°C),,,,ü,,,,,,, 106-M, 32-M,103-M , 75-M ,94-M ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,CONTROLES DE CALIDAD,,,,,,,,,,,,Manual de Inocuidad y Certificación Parte II Sección III Cap IV pto 1 y 2,,,,,,,,,,,
,Duplicado en ALI: ,,,,Anáilis: ,RAM,,Cumple ,ü,No cumple,,,Desfavorable:      SI                                     NO,,,,,,ü,,,,,
,Control (+); (-) y Blanco en ALI: ,,,,,,,Cumple ,ü,No cumple,,,Tabla/Página:,,,, Límite:,,,,,,,
,Control de Siembra en ALI:,,,,0,,,Cumple ,ü,No cumple,,,Fecha y hora de entrega: ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Fecha/Hora/Analista Lectura 3° día: ,,,,,,,,,,Control Siembra A. Brasilensis (UFC): ,,,,,,Control Siembra S. Cereviceae(UFC): ,,,,,,Blanco(UFC): ,,
Fecha/Hora/Analista Lectura 4° día: ,,,,,,,,,,Control Siembra A. Brasilensis (UFC): ,,,,,,Control Siembra S. Cereviceae(UFC): ,,,,,,Blanco(UFC): ,,
Fecha/Hora/Analista Lectura 5° día:,,,,,,,,,,Control Siembra A. Brasilensis (UFC): ,,,,,,Control Siembra S. Cereviceae(UFC): ,,,,,,Blanco(UFC): ,,
,,,,,,,,,,,,,,,,,,,,,,,,
Control Pesado: T°:,,,0,UFC:,,,Control Siembra: ,,,Hora Inicio: ,,00:00:00,Hora Término: ,,00:00:00, T°: ,0, UFC:,,Control (+): ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 Enumeración de Mohos,,,,,,,,,,,,,,,,,,,,,,,,
,Nº de Muestra:  ,,,,"Duplicado 
        ",,,,Nº de Muestra:  ,,,,Nº de Muestra:  ,,,,Nº de Muestra:  ,,,,Nº de Muestra:  ,,,
102-M,0,,1,,0,,1d,,0,,2,,0,,3,,0,,4,,0,,5,
Dilución,,,,,,,,,,,,,,,,,,,,,,,,
3° Día,,,,,,,,,,,,,,,,,,,,,,,,
4° Día,,,,,,,,,,,,,,,,,,,,,,,,
5° Día,,,,,,,,,,,,,,,,,,,,,,,,
∑C ,,,,,,,,,,,,,,,,,,,,,,,,
d ,,,,,,,,,,,,,,,,,,,,,,,,
n1 ,,,,,,,,,,,,,,,,,,,,,,,,
n2 ,,,,,,,,,,,,,,,,,,,,,,,,
x ,,,,,,,,,,,,,,,,,,,,,,,,
Rm, -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr 
RMPES, -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr 
,,,,,,,,,,,,,,,,,,,,,,,,
 Enumeración de Levaduras,,,,,,,,,,,,,,,,,,,,,,,,
,Nº de Muestra:  ,,,,"Duplicado 
        ",,,,Nº de Muestra:  ,,,,Nº de Muestra:  ,,,,Nº de Muestra:  ,,,,Nº de Muestra:  ,,,
,0,,1,,0,,1d,,0,,2,,0,,3,,0,,4,,0,,5,
Dilución,,,,,,,,,,,,,,,,,,,,,,,,
3° Día,,,,,,,,,,,,,,,,,,,,,,,,
4° Día,,,,,,,,,,,,,,,,,,,,,,,,
5° Día,,,,,,,,,,,,,,,,,,,,,,,,
∑C ,,,,,,,,,,,,,,,,,,,,,,,,
d ,,,,,,,,,,,,,,,,,,,,,,,,
n1 ,,,,,,,,,,,,,,,,,,,,,,,,
n2 ,,,,,,,,,,,,,,,,,,,,,,,,
x ,,,,,,,,,,,,,,,,,,,,,,,,
RL, -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr 
RMPES, -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr , -----------,,, UFC/gr 
,,,,,,,,,,,,,,,,,,,,,,,,
Observaciones:,,,,,,,,,,,,,,,,,,,,,,,,
,"pH requerido: 3,5± 0,1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Página 1 de 2,,,,,,,,,Coordinador de Área,,,,
